"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "JavaScript JSX", "CSS", "XML", "Django HTML", "Properties", "TypeScript JSX", "comment", "blank", "total"
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\remove.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\share.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\thumb-other.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\thumb-video.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\upload.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\video.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Websites\Prescripto\Cloud Storage\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Websites\Prescripto\Cloud Storage\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Websites\Prescripto\Cloud Storage\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Websites\Prescripto\Cloud Storage\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Websites\Prescripto\Cloud Storage\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 2, 105
"d:\Websites\Prescripto\Cloud Storage\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\Websites\Prescripto\Cloud Storage\types\index.d.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 1, 9, 77
"d:\Websites\Prescripto\admin\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\Websites\Prescripto\admin\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Websites\Prescripto\admin\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
