"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "Docker", "XML", "JavaScript JSX", "YAML", "JSON with Comments", "Properties", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\Websites\Prescripto\website\backend\node-loader.cjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 32
"d:\Websites\Prescripto\website\backend\node-loader.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 16
"d:\Websites\Prescripto\website\backend\package-lock.json", "JSON", 0, 33355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33356
"d:\Websites\Prescripto\website\backend\package.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84
"d:\Websites\Prescripto\website\backend\patch-buffer-package.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 33
"d:\Websites\Prescripto\website\backend\public\wallet-images\apple-wallet-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Websites\Prescripto\website\backend\public\wallet-images\icon.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Websites\Prescripto\website\backend\public\wallet-images\logo.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Websites\Prescripto\website\backend\routes\accessAuthRoute.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\Websites\Prescripto\website\backend\routes\accessUserRoute.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"d:\Websites\Prescripto\website\backend\routes\adminRoute.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 21, 184
"d:\Websites\Prescripto\website\backend\routes\aiRoute.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 26
"d:\Websites\Prescripto\website\backend\routes\analysisRoute.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"d:\Websites\Prescripto\website\backend\routes\apiPackageRoute.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Websites\Prescripto\website\backend\routes\appointmentPDFRoute.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 14
"d:\Websites\Prescripto\website\backend\routes\auth.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 48
"d:\Websites\Prescripto\website\backend\routes\autoCancelRoute.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"d:\Websites\Prescripto\website\backend\routes\bedAllocationRoute.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"d:\Websites\Prescripto\website\backend\routes\bedCategoryRoute.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Websites\Prescripto\website\backend\routes\blogRoute.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 83
"d:\Websites\Prescripto\website\backend\routes\captchaRoute.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Websites\Prescripto\website\backend\routes\cashPaymentRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"d:\Websites\Prescripto\website\backend\routes\communityRoute.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 19
"d:\Websites\Prescripto\website\backend\routes\contactRoute.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"d:\Websites\Prescripto\website\backend\routes\couponRoutes.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Websites\Prescripto\website\backend\routes\doctorRoute.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 32
"d:\Websites\Prescripto\website\backend\routes\doctorVerificationRoute.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"d:\Websites\Prescripto\website\backend\routes\donationRoute.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"d:\Websites\Prescripto\website\backend\routes\driveRoute.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 97
"d:\Websites\Prescripto\website\backend\routes\eventRoute.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 98
"d:\Websites\Prescripto\website\backend\routes\familyRoute.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"d:\Websites\Prescripto\website\backend\routes\feedbackRoute.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"d:\Websites\Prescripto\website\backend\routes\googleTasksRoute.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Websites\Prescripto\website\backend\routes\gpsRoute.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 24
"d:\Websites\Prescripto\website\backend\routes\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"d:\Websites\Prescripto\website\backend\routes\inventory.js", "JavaScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 39, 259
"d:\Websites\Prescripto\website\backend\routes\inventoryRoute.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 35
"d:\Websites\Prescripto\website\backend\routes\loginHistoryRoutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 15
"d:\Websites\Prescripto\website\backend\routes\medicalFilesRoute.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 65
